path,name,category,status,description,classes,functions,lines,size_bytes,modified,author,todo_count
cognition/src/audit/thought-action-audit-logger.ts,thought-action-audit-logger.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Implements detailed audit logging of the thought process in the cognition module. Tracks each stage from need identification to action completion in every session. Provides structured logs for debugging and analyzing the bot's decision pipeline.,ThoughtActionAuditLogger,"startTwoMinuteAudit, startQuickAudit",449,12524,2026-02-05T19:34:23.856788,@darianrosebrook,0
cognition/src/bot-state-cache.ts,bot-state-cache.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"state management module that maintains a versioned, time-stamped, and immutable currentState for the cognition layer, ensuring consistent access across all bot surface interactions without additional network calls.",,"buildInventoryMap, updateBotStateCache, getBotStateCache, isCompletePosition, patchBotStateCache",162,5580,2026-02-02T01:05:06.797217,,0
cognition/src/cognition-state.ts,cognition-state.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides and manages the mutable state for cognitive operations in the conscious-bot LLM integration. Initializes key fields such as cognitiveThoughts, spawnPosition, and ttsEnabled via createInitialState. Ensures the state is safely passed and updated throughout the cognitive stream.",,createInitialState,40,1301,2026-02-02T16:17:12.802183,,0
cognition/src/cognitive-core/chat-formatting.ts,chat-formatting.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides text cleanup functions for chat output formatting in the cognitive module of conscious-bot. Strips protocol markers and enforces character limits without semantic analysis. Normalizes whitespace and ensures responses comply with boundary rules for structured chat content.,,"stripProtocolMarkers, normalizeWhitespace, formatForDisplay, formatForChat",115,3530,2026-02-04T23:32:13.413318,@darianrosebrook,0
cognition/src/cognitive-core/context-optimizer.ts,context-optimizer.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"Implements context optimization by integrating and prioritizing memory retrieval, synthesizing relevant context across modules, and applying token and compression strategies to enhance LLM input context for efficient reasoning in the conscious-bot framework.",ContextOptimizer,,612,17420,2025-09-22T00:32:55.013544,@darianrosebrook,0
cognition/src/cognitive-core/conversation-manager.ts,conversation-manager.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"* Conversation flow management system. * * Manages conversation state, topic tracking, and communication style * adaptation for natural and coherent social interactions. * * @author @darianrosebrook",ConversationManager,,718,18426,2025-09-22T00:32:56.915086,@darianrosebrook,0
cognition/src/cognitive-core/creative-solver.ts,creative-solver.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements creative problem-solving with analogical reasoning, constraint relaxation, and solution generation using the LLM interface. Integrates domain knowledge and maintains a solution history for traceable, adaptive responses. Enables customizable configuration for controlling analogy use, relaxation depth, and solution diversity.",CreativeProblemSolver,,610,17156,2026-01-28T20:13:39.038069,@darianrosebrook,0
cognition/src/cognitive-core/emotional-memory-llm-adapter.ts,emotional-memory-llm-adapter.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Contextualizes LLM responses with the bot's emotional memory and self-narrative, enhancing outputs by considering accumulated emotional experiences and identity-aware factors during reasoning. Integrates emotional state, recent experiences, and identity reinforcement into the cognitive stream. Allows controlled application of emotional focus via configuration.","EmotionalMemoryLLMAdapter, if, close",,819,23522,2026-01-28T20:13:35.847853,@darianrosebrook,0
cognition/src/cognitive-core/internal-dialogue.ts,internal-dialogue.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Implements internal thought generation for consciousness-like self-reflection within the cognitive module of conscious-bot. Evaluates triggers and constructs a context-rich stream of InternalThought objects using the LLM interface. Maintains a bounded queue of thoughts and updates the cognitive state during processing.,InternalDialogue,,536,14870,2026-02-01T03:03:40.653133,@darianrosebrook,0
cognition/src/cognitive-core/llm-interface.ts,llm-interface.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"with a clean text interface, provides safe text preprocessing to strip guillemets and prevent prompt injection attacks in the cognitive stream.",LLMInterface,stripGuillemets,786,27193,2026-02-05T19:34:23.863830,@darianrosebrook,0
cognition/src/cognitive-core/llm-output-reducer.ts,llm-output-reducer.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements the LLM output reduction to assemble raw LLM responses into Sterling envelopes, ensuring strict adherence to the semantic boundary by mapping errors and attaching provenance before forwarding to downstream components.",ReductionError,"isReduceError, hashForLogging, reduceRawLLMOutput, logReduction, createMockReductionResult",297,9652,2026-02-04T23:32:13.414255,,0
cognition/src/cognitive-core/memory-aware-llm.ts,memory-aware-llm.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"Provides a memory-aware LLM interaction layer that enables retrieval, storage, and recall of cognitive patterns during thought processing in the conscious-bot architecture.",MemoryAwareLLMInterface,,902,25285,2025-10-02T00:13:02.109646,@darianrosebrook,0
cognition/src/cognitive-core/reflection-engine.ts,reflection-engine.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"Analysis module within the cognitive architecture of conscious-bot, processes recent experiences to extract actionable insights and identify recurring patterns for intent refinement. Utilizes ExperienceAnalysis and Pattern detection to support continuous self-improvement and learning synthesis. Drives adaptive thought evolution by storing and evaluating reflection data in the cognitive stream.",AdvancedReflectionEngine,,773,21275,2025-08-23T17:46:29.180563,@darianrosebrook,0
cognition/src/cognitive-metrics-tracker.ts,cognitive-metrics-tracker.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"CognitiveMetricsTracker maintains and reports key performance metrics for the conscious-bot's cognitive processes. It tracks optimizations, conversations, solutions generated, violations blocked, and intrusions handled. The class provides counters, increments, and a reset method to monitor system efficiency.",CognitiveMetricsTracker,,74,1636,2026-02-02T15:02:24.457044,@darianrosebrook,0
cognition/src/cognitive-state-tracker.ts,cognitive-state-tracker.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements conversation and operation logging in the cognitive-bot architecture. Maintains a set of active conversations and an array of recent operations with metrics such as cognitive load and attention level. Provides methods to start, end conversations and track system activity for audit and process monitoring.",CognitiveStateTracker,,214,6248,2026-02-02T15:02:45.520236,@darianrosebrook,0
cognition/src/cognitive-stream-logger.ts,cognitive-stream-logger.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"API logging service within the cognitive-bot package, forwards structured cognition events and metadata to the dashboard for real-time monitoring and analysis of the bot's thoughts and intent tracking.  Handles JSON payload formatting and integrates with the cognitive stream endpoint for secure, centralized logging.  Enables traceability of the cognitive process for debugging and safety evaluation.",CognitiveStreamLogger,,200,5712,2026-02-04T10:13:46.797570,@darianrosebrook,0
cognition/src/config/llm-token-config.ts,llm-token-config.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,* Recommended maxTokens and temperature per LLM call source. * Tuned for latency vs quality: lower maxTokens = faster MLX responses. * * @author @darianrosebrook,,getLLMConfig,47,1560,2026-02-01T03:03:40.703374,@darianrosebrook,0
cognition/src/constitutional-filter/constitutional-filter.ts,constitutional-filter.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"Use LLM-generated proposals to evaluate actions, goals, and messages against constitutional rules via RulesEngine, returning compliance results and optional explanations. Implements strict, standard, and advisory enforcement levels with real-time monitoring for norm drift. Central to ethical decision-making in the cognitive stream.",ConstitutionalFilter,,767,24158,2025-08-23T17:46:29.180797,@darianrosebrook,0
cognition/src/constitutional-filter/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,* Constitutional Filter System * * Provides ethical rules enforcement and norm compliance for agent behavior. * * @author @darianrosebrook,,,12,287,2025-08-21T11:10:01.206329,@darianrosebrook,0
cognition/src/constitutional-filter/rules-database.ts,rules-database.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"* Constitutional rules database. * * Manages the storage, retrieval, and versioning of constitutional rules * that govern agent behavior and decision-making. * * @author @darianrosebrook",RulesDatabase,getCoreRules,481,15477,2025-08-21T11:10:01.206467,@darianrosebrook,0
cognition/src/constitutional-filter/rules-engine.ts,rules-engine.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,"rules engine evaluates user actions, goals, and messages against the conscious-bot's constitutional rules and conflict resolution strategies, ensuring ethical compliance and safety; it utilizes a RulesDatabase for rule retrieval and optionally an LLMInterface for advanced assessments; tracks reasoning traces and logging for auditability.",RulesEngine,,726,21689,2025-08-21T11:10:01.206628,@darianrosebrook,0
cognition/src/constitutional-filter/types.ts,types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",stable,Provides type definitions for constitutional filtering rules used by the cognitive module in the conscious-bot framework for LLM command filtering and intent enforcement.,,,299,6975,2025-09-22T00:34:31.837933,@darianrosebrook,5
cognition/src/environmental/observation-reasoner.ts,observation-reasoner.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements a structured ObservationPayload type for the cognitive stream, integrating entity and event snapshots with spatial data for LLM input, Enables the LLM to process recent observations, optionally enriched with entity/event details,",ObservationReasoner,,455,14621,2026-02-02T19:27:56.325432,,0
cognition/src/environmental/saliency-reasoner.ts,saliency-reasoner.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides saliency-based reasoning over entity tracks. Maintains a cognition-side view by applying and comparing saliency deltas with existing track summaries. Enables the cognitive module to reclassify or flag unknown entities while supporting awareness updates without LLM involvement.,,"cleanupOldAwareness, shouldEmitAwareness, createSaliencyReasonerState, applySaliencyEnvelope, applyDelta",394,11862,2026-02-03T03:51:08.520120,,0
cognition/src/evals/harness/eval-orchestrator.ts,eval-orchestrator.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,EvalOrchestrator in the cognition module orchestrates LLM-based eval runs by initializing the reasoning surface and emitting structured event payloads to track evaluation progress and results. It configures each eval session with the current state and invokes the production LF-4 code for scoring and summary extraction. The orchestrator compiles input scenarios and aggregates evaluation outputs into results bundles for downstream analysis.,,"defaultLLMGenerator, runEval, runScenario, buildPrompt",507,15720,2026-02-03T04:57:18.738682,@darianrosebrook,0
cognition/src/evals/harness/event-emitter.ts,event-emitter.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides a TypeScript event emitter for the cognition module, logging eval run lifecycle events to events.jsonl according to the official conscious-bot schema. Ensures centralized and authoritative tracking of evaluation processes for consistency and auditability.",EvalEventEmitter,"buildSuiteLoadedPayload, buildSuiteInvalidPayload, buildProductionSurfacePayload, buildScenarioStartedPayload, buildScenarioResultPayload",313,7551,2026-02-03T04:54:48.820915,@darianrosebrook,0
cognition/src/evals/harness/frame-profiles.ts,frame-profiles.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides predefined frame profile configurations for the cognition module.,,"getFrameProfile, isValidFrameProfile, getFrameProfileNames, getFrameProfileSummary",79,2006,2026-02-03T04:54:01.419101,@darianrosebrook,0
cognition/src/evals/harness/index.ts,index.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,* Eval Harness — Main Entry Point * * This module provides the complete eval harness infrastructure for * evaluating thought generation against scenario suites. * * @author @darianrosebrook,,,36,1793,2026-02-03T04:57:30.151502,@darianrosebrook,0
cognition/src/evals/harness/metrics-collector.ts,metrics-collector.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements collects and aggregates per-scenario metrics for the cognition module's evaluation harness, tracking action_taken, grounding_pass, repetition, and anchoring_ratio for each evaluation run.",MetricsCollector,countAvailableFacts,354,11014,2026-02-03T04:55:55.134988,,0
cognition/src/evals/harness/result-bundle.ts,result-bundle.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"* Result Bundle for Eval Harness * * Creates content-addressed result bundles for eval runs. * Bundle IDs are deterministic based on content, not timestamps. * * @author @darianrosebrook",,"computeBundleId, createResultBundle, generateRunId, buildOutputDir",187,5484,2026-02-03T05:10:17.963538,@darianrosebrook,0
cognition/src/evals/harness/sampler-profiles.ts,sampler-profiles.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides predefined sampler profiles for the cognition module, allowing the LLM integration to select optimal generation parameters such as temperature, Top- P, and max tokens during intent extraction and cognitive stream processing.",,"getSamplerProfile, isValidSamplerProfile, getSamplerProfileNames, getSamplerProfileSummary, getDefaultSamplerProfile",166,4565,2026-02-03T04:54:19.204174,,0
cognition/src/evals/harness/scenario-loader.ts,scenario-loader.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Implements scenario loading and validation for the cognition module, parsing and validating each line against an Ajv schema to ensure correct structure for the conscious-bot's intent extraction process.",ScenarioLoader,"discoverSuites, getSuiteId",262,7043,2026-02-03T04:55:14.549535,@darianrosebrook,0
cognition/src/evals/types.ts,types.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,"Provides type definitions for evaluating the cognitive stimulus and action affordances within the conscious-bot's LLM integration layer. Defines enum and type structures for tracking event types, threat levels, and time of day states used in eval scenarios. Enables consistent, reusable types for the evaluation framework.",,,106,2065,2026-02-03T04:57:41.502650,@darianrosebrook,0
cognition/src/event-driven-thought-generator.ts,event-driven-thought-generator.ts,"LLM integration, thought processing, intent extraction, cognitive stream",active,Provides event-based triggers for the cognitive stream by analyzing BotLifecycleEvent context.,EventDrivenThoughtGenerator,,417,12093,2026-02-03T02:27:49.109928,@darianrosebrook,0
